pop1,type1,pop2,type2,pop3,type3,pop4,type4,Comparison,Correlation,comparison
pacific,marine,misty,stream,pacific,marine,pax,limnetic,Parallel Divergent Selection,0.425783625,pacific_misty_pacific_pax
pacific,marine,misty,lake,pacific,marine,pax,limnetic,Parallel Divergent Selection,0.434944341,pacific_misty_pacific_pax
pacific,marine,misty,stream,pacific,marine,pax,benthic,Parallel Divergent Selection,0.482117201,pacific_misty_pacific_pax
pacific,marine,misty,lake,pacific,marine,pax,benthic,Parallel Divergent Selection,0.495618421,pacific_misty_pacific_pax
pacific,marine,misty,stream,pacific,marine,pcr,lake,Parallel Divergent Selection,0.60398394,pacific_misty_pacific_pcr
pacific,marine,misty,lake,pacific,marine,pcr,lake,Parallel Divergent Selection,0.611856595,pacific_misty_pacific_pcr
pacific,marine,misty,stream,pacific,marine,pri,limnetic,Parallel Divergent Selection,0.460683896,pacific_misty_pacific_pri
pacific,marine,misty,lake,pacific,marine,pri,limnetic,Parallel Divergent Selection,0.472516933,pacific_misty_pacific_pri
pacific,marine,misty,stream,pacific,marine,pri,benthic,Parallel Divergent Selection,0.511714352,pacific_misty_pacific_pri
pacific,marine,misty,lake,pacific,marine,pri,benthic,Parallel Divergent Selection,0.524913955,pacific_misty_pacific_pri
pacific,marine,misty,stream,pacific,marine,roberts,stream,Parallel Divergent Selection,0.725095077,pacific_misty_pacific_roberts
pacific,marine,misty,lake,pacific,marine,roberts,stream,Parallel Divergent Selection,0.729045846,pacific_misty_pacific_roberts
pacific,marine,misty,stream,pacific,marine,roberts,lake,Parallel Divergent Selection,0.749571361,pacific_misty_pacific_roberts
pacific,marine,misty,lake,pacific,marine,roberts,lake,Parallel Divergent Selection,0.755867147,pacific_misty_pacific_roberts
pacific,marine,misty,stream,pacific,marine,wc,stream,Parallel Divergent Selection,0.566286692,pacific_misty_pacific_wc
pacific,marine,misty,lake,pacific,marine,wc,stream,Parallel Divergent Selection,0.575132687,pacific_misty_pacific_wc
pacific,marine,mud,lake,pacific,marine,pax,limnetic,Parallel Divergent Selection,0.469383018,pacific_mud_pacific_pax
pacific,marine,mud,lake,pacific,marine,pax,benthic,Parallel Divergent Selection,0.508195294,pacific_mud_pacific_pax
pacific,marine,mud,lake,pacific,marine,pcr,lake,Parallel Divergent Selection,0.508185697,pacific_mud_pacific_pcr
pacific,marine,mud,lake,pacific,marine,pri,limnetic,Parallel Divergent Selection,0.459461009,pacific_mud_pacific_pri
pacific,marine,mud,lake,pacific,marine,pri,benthic,Parallel Divergent Selection,0.534091154,pacific_mud_pacific_pri
pacific,marine,mud,lake,pacific,marine,roberts,stream,Parallel Divergent Selection,0.538485426,pacific_mud_pacific_roberts
pacific,marine,mud,lake,pacific,marine,roberts,lake,Parallel Divergent Selection,0.550750621,pacific_mud_pacific_roberts
pacific,marine,mud,lake,pacific,marine,wc,stream,Parallel Divergent Selection,0.47219019,pacific_mud_pacific_wc
pacific,marine,pax,limnetic,pacific,marine,pcr,lake,Parallel Divergent Selection,0.375295017,pacific_pax_pacific_pcr
pacific,marine,pax,benthic,pacific,marine,pcr,lake,Parallel Divergent Selection,0.429724908,pacific_pax_pacific_pcr
pacific,marine,pax,limnetic,pacific,marine,pri,benthic,Parallel Divergent Selection,0.64630915,pacific_pax_pacific_pri
